"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"FLAT","iPath US Treasury Flattener ETN","62.516","3464136.592","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/flat",
"DLBS","iPath US Treasury Long Bond Bear ETN","14.23","16742278.04","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbs",
"DLBL","iPath US Treasury Long Bond Bull ETN","81.65","5793557.4","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbl",
"STPP","iPath US Treasury Steepener ETN","30.79","5308811.8","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/stpp",
"JHX","James Hardie Industries plc.","15.64","6969210588","n/a","Ireland","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/jhx",
"JAZZ","Jazz Pharmaceuticals plc","121.26","7340123537.34","n/a","Ireland","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
"JCI","Johnson Controls International plc","44.06","17934370888.68","n/a","Switzerland","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/jci",
"KNOP","KNOT Offshore Partners LP","20.3","552040108.2","n/a","United Kingdom","2013","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/knop",
"PHG","Koninklijke Philips N.V.","28.43","26363601669.82","n/a","Netherlands","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/phg",
"LBTYA","Liberty Global plc","31.87","29318361212.36","n/a","United Kingdom","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtya",
"LBTYB","Liberty Global plc","34.2","31461812157.6","n/a","United Kingdom","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyb",
"LBTYK","Liberty Global plc","31.25","28748000875","n/a","United Kingdom","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyk",
"LILA","Liberty Global plc","27.62","4807508005.66","n/a","United Kingdom","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lila",
"LILAK","Liberty Global plc","27.66","4814470363.38","n/a","United Kingdom","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lilak",
"LIQT","LiqTech International, Inc.","0.74","29253705.9","n/a","Denmark","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"LIVN","LivaNova PLC","56.43","2769226182.36","n/a","United Kingdom","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/livn",
"LYG","Lloyds Banking Group Plc","2.73","48767802998.46","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/lyg",
"EVAR","Lombard Medical, Inc.","0.8628","17157610.602","n/a","United Kingdom","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/evar",
"LXFR","Luxfer Holdings PLC","9.39","246957000","n/a","United Kingdom","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lxfr",
